label,network,n,k,pr,m,gamma,rep,fitness,p1,p2,tau,burn_per_node,measure_per_node
"WS k=6, p_r=1",ws,500,6,1.0,,0.02,0,4.015e-06,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.02,1,2.9599999999999996e-06,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.02,2,3.6549999999999997e-06,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.08,0,6.265e-05,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.08,1,6.048e-05,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.08,2,5.7425e-05,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.13999999999999999,0,0.00010276,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.13999999999999999,1,0.000100865,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.13999999999999999,2,0.00010329999999999999,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.19999999999999998,0,0.000120225,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.19999999999999998,1,0.00012272,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.19999999999999998,2,0.00012216,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.26,0,0.000134055,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.26,1,0.00013446999999999998,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.26,2,0.00013627,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.32,0,0.000136095,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.32,1,0.00014043499999999998,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.32,2,0.00013754999999999998,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.38,0,0.000140005,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.38,1,0.00013425999999999998,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.38,2,0.00013526,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.44,0,0.0001288,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.44,1,0.00013245,0.02,0.85,0.01,100,100
